feature_id_standardized	feature_type	phenotype	stressor	n_effects	n_studies	pooled_effect	pooled_standard_error	p_value	q	i2_percent	tau2	direction_consistency	study_ids
CGI_99999	gene	thermal_tolerance	temperature	1	1	1.2	0.45	0.00766076113517955	0.0	0.0	0.0	1.0	CGIG_HEAT_RNASEQ_001
NCBI:LOC105317001	gene	larval_viability	multi_stressor_exposure	1	1	0.65	0.32	0.042229640635430554	0.0	0.0	0.0	1.0	CGIG_LARVAL_PROCESSED_001
NCBI:LOC105317001	gene	survival	temperature	1	1	1.1	0.35	0.001673074722152279	0.0	0.0	0.0	1.0	CGIG_HEAT_RNASEQ_002
NCBI:LOC105317001	gene	thermal_tolerance	temperature	1	1	1.45	0.31	2.9050776597649985e-06	0.0	0.0	0.0	1.0	CGIG_HEAT_RNASEQ_001
NCBI:LOC105317002	gene	survival	temperature	1	1	-0.55	0.3	0.0667530151696345	0.0	0.0	0.0	1.0	CGIG_HEAT_RNASEQ_002
NCBI:LOC105317002	gene	thermal_tolerance	temperature	1	1	0.9	0.28	0.0013076948081092166	0.0	0.0	0.0	1.0	CGIG_HEAT_RNASEQ_001
NCBI:LOC105317002	protein	disease_resistance	pathogen_challenge	1	1	0.9500000000000001	0.27	0.00043396352690239226	1.6908026946609477e-31	0.0	0.0	1.0	CGIG_PATH_PROTEO_001
NCBI:LOC105317003	gene	larval_viability	multi_stressor_exposure	1	1	-1.05	0.41	0.010437868378946558	0.0	0.0	0.0	1.0	CGIG_LARVAL_PROCESSED_001
NCBI:LOC105317003	gene	thermal_tolerance	temperature	1	1	-0.7	0.25	0.005110260660855737	0.0	0.0	0.0	1.0	CGIG_HEAT_RNASEQ_001
NCBI:LOC105317003	genomic_region	acidification_tolerance	ocean_acidification_pH	1	1	0.18	0.06	0.002699796063260207	0.0	0.0	0.0	1.0	CGIG_OA_METHYL_001
NCBI:LOC105317004	gene	survival	temperature	1	1	0.8	0.34	0.01862558028740291	0.0	0.0	0.0	1.0	CGIG_HEAT_RNASEQ_002
NCBI:LOC105317004	genomic_region	acidification_tolerance	ocean_acidification_pH	1	1	-0.12	0.05	0.01639507184919231	0.0	0.0	0.0	1.0	CGIG_OA_METHYL_001
NCBI:LOC105317004	protein	disease_resistance	pathogen_challenge	1	1	-0.6	0.33	0.06903634799441516	0.0	0.0	0.0	1.0	CGIG_PATH_PROTEO_001
glutathione_related_feature	metabolite	salinity_tolerance	salinity	1	1	0.75	0.29	0.009703866289230145	0.0	0.0	0.0	1.0	CGIG_SALINITY_METAB_001
unknown_metabolite_404	metabolite	salinity_tolerance	salinity	1	1	-0.88	0.4	0.02780689502699718	0.0	0.0	0.0	1.0	CGIG_SALINITY_METAB_001
