evidence_id	study_id	sample_comparison	feature_id_original	feature_id_standardized	feature_type	species	genome_assembly	annotation_version	ortholog_reference	mapping_confidence	molecular_direction	effect_size	effect_size_type	standard_error	ci_lower	ci_upper	p_value	adjusted_p_value	sample_size	tissue	life_stage	stressor	phenotype	phenotype_direction	analysis_method	quality_flags	source_file	input_checksum	workflow_version	date_generated	source_accession	resilience_classification	mapping_release	mapping_evidence
CGIG_HEAT_RNASEQ_PRJNA516762:1	CGIG_HEAT_RNASEQ_PRJNA516762	heat_35C_2h_vs_control_12C	CGI_10002387	NCBI:GeneID:105327207	gene	Crassostrea gigas	GCA_000297895.1			inferred	up	4.32192220592129	log2_fold_change					3.02612988199714e-86	30	gill	juvenile	temperature	thermal_tolerance	Organism-level thermal-tolerance direction was not measured; molecular heat-response direction only	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_mapping_required	data/processed/CGIG_HEAT_RNASEQ_PRJNA516762_rnaseq.tsv	f7cbd2aa601e130aea65440517c93484156014a5b69571fe1317d2b2d851c2ea	0.1.0	2026-09-25	PRJNA516762;SRP181984;PMC6688261;31395030	stress_response	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_coordinate_overlap_to_discontinued_ncbi_gene_then_ncbi_currentid
CGIG_HEAT_RNASEQ_PRJNA516762:2	CGIG_HEAT_RNASEQ_PRJNA516762	heat_35C_2h_vs_control_12C	CGI_10002823	NCBI:GeneID:105322484	gene	Crassostrea gigas	GCA_000297895.1			inferred	up	2.00483026167558	log2_fold_change					1.13310897261583e-10	30	gill	juvenile	temperature	thermal_tolerance	Organism-level thermal-tolerance direction was not measured; molecular heat-response direction only	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_mapping_required	data/processed/CGIG_HEAT_RNASEQ_PRJNA516762_rnaseq.tsv	f7cbd2aa601e130aea65440517c93484156014a5b69571fe1317d2b2d851c2ea	0.1.0	2026-09-25	PRJNA516762;SRP181984;PMC6688261;31395030	stress_response	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5
CGIG_HEAT_RNASEQ_PRJNA516762:3	CGIG_HEAT_RNASEQ_PRJNA516762	heat_35C_2h_vs_control_12C	CGI_10009093	CGI_10009093	gene	Crassostrea gigas	GCA_000297895.1			unresolved	up	1.88452249870533	log2_fold_change					2.37451014773084e-14	30	gill	juvenile	temperature	thermal_tolerance	Organism-level thermal-tolerance direction was not measured; molecular heat-response direction only	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_mapping_required	data/processed/CGIG_HEAT_RNASEQ_PRJNA516762_rnaseq.tsv	f7cbd2aa601e130aea65440517c93484156014a5b69571fe1317d2b2d851c2ea	0.1.0	2026-09-25	PRJNA516762;SRP181984;PMC6688261;31395030	stress_response	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	no_unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5
CGIG_HEAT_RNASEQ_PRJNA516762:4	CGIG_HEAT_RNASEQ_PRJNA516762	heat_35C_2h_vs_control_12C	CGI_10002068	NCBI:GeneID:105345749	gene	Crassostrea gigas	GCA_000297895.1			inferred	up	1.87656832611718	log2_fold_change					1.52304541659241e-09	30	gill	juvenile	temperature	thermal_tolerance	Organism-level thermal-tolerance direction was not measured; molecular heat-response direction only	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_mapping_required	data/processed/CGIG_HEAT_RNASEQ_PRJNA516762_rnaseq.tsv	f7cbd2aa601e130aea65440517c93484156014a5b69571fe1317d2b2d851c2ea	0.1.0	2026-09-25	PRJNA516762;SRP181984;PMC6688261;31395030	stress_response	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_coordinate_overlap_to_discontinued_ncbi_gene_then_ncbi_currentid
CGIG_HEAT_RNASEQ_PRJNA516762:5	CGIG_HEAT_RNASEQ_PRJNA516762	heat_35C_2h_vs_control_12C	CGI_10002950	CGI_10002950	gene	Crassostrea gigas	GCA_000297895.1			unresolved	up	1.82167278936896	log2_fold_change					1.21669935295818e-14	30	gill	juvenile	temperature	thermal_tolerance	Organism-level thermal-tolerance direction was not measured; molecular heat-response direction only	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_mapping_required	data/processed/CGIG_HEAT_RNASEQ_PRJNA516762_rnaseq.tsv	f7cbd2aa601e130aea65440517c93484156014a5b69571fe1317d2b2d851c2ea	0.1.0	2026-09-25	PRJNA516762;SRP181984;PMC6688261;31395030	stress_response	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model
CGIG_HEAT_RNASEQ_PRJNA516762:6	CGIG_HEAT_RNASEQ_PRJNA516762	heat_35C_2h_vs_control_12C	Crassostrea_gigas_newGene_40298	Crassostrea_gigas_newGene_40298	gene	Crassostrea gigas	GCA_000297895.1			unresolved	up	1.77628600034683	log2_fold_change					9.90570218481327e-11	30	gill	juvenile	temperature	thermal_tolerance	Organism-level thermal-tolerance direction was not measured; molecular heat-response direction only	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_mapping_required	data/processed/CGIG_HEAT_RNASEQ_PRJNA516762_rnaseq.tsv	f7cbd2aa601e130aea65440517c93484156014a5b69571fe1317d2b2d851c2ea	0.1.0	2026-09-25	PRJNA516762;SRP181984;PMC6688261;31395030	stress_response	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model
CGIG_HEAT_RNASEQ_PRJNA516762:7	CGIG_HEAT_RNASEQ_PRJNA516762	heat_35C_2h_vs_control_12C	Crassostrea_gigas_newGene_21273	Crassostrea_gigas_newGene_21273	gene	Crassostrea gigas	GCA_000297895.1			unresolved	up	1.69251157968981	log2_fold_change					1.01349790384326e-07	30	gill	juvenile	temperature	thermal_tolerance	Organism-level thermal-tolerance direction was not measured; molecular heat-response direction only	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_mapping_required	data/processed/CGIG_HEAT_RNASEQ_PRJNA516762_rnaseq.tsv	f7cbd2aa601e130aea65440517c93484156014a5b69571fe1317d2b2d851c2ea	0.1.0	2026-09-25	PRJNA516762;SRP181984;PMC6688261;31395030	stress_response	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model
CGIG_HEAT_RNASEQ_PRJNA516762:8	CGIG_HEAT_RNASEQ_PRJNA516762	heat_35C_2h_vs_control_12C	CGI_10010798	CGI_10010798	gene	Crassostrea gigas	GCA_000297895.1			unresolved	up	1.66712091726567	log2_fold_change					1.30446050541416e-07	30	gill	juvenile	temperature	thermal_tolerance	Organism-level thermal-tolerance direction was not measured; molecular heat-response direction only	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_mapping_required	data/processed/CGIG_HEAT_RNASEQ_PRJNA516762_rnaseq.tsv	f7cbd2aa601e130aea65440517c93484156014a5b69571fe1317d2b2d851c2ea	0.1.0	2026-09-25	PRJNA516762;SRP181984;PMC6688261;31395030	stress_response	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_ncbi_gene_discontinued_without_current_replacement
CGIG_HEAT_RNASEQ_PRJNA516762:9	CGIG_HEAT_RNASEQ_PRJNA516762	heat_35C_2h_vs_control_12C	CGI_10004164	NCBI:GeneID:105346578	gene	Crassostrea gigas	GCA_000297895.1			inferred	up	1.65480473530871	log2_fold_change					6.0996220494064e-07	30	gill	juvenile	temperature	thermal_tolerance	Organism-level thermal-tolerance direction was not measured; molecular heat-response direction only	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_mapping_required	data/processed/CGIG_HEAT_RNASEQ_PRJNA516762_rnaseq.tsv	f7cbd2aa601e130aea65440517c93484156014a5b69571fe1317d2b2d851c2ea	0.1.0	2026-09-25	PRJNA516762;SRP181984;PMC6688261;31395030	stress_response	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5
CGIG_HEAT_RNASEQ_PRJNA516762:10	CGIG_HEAT_RNASEQ_PRJNA516762	heat_35C_2h_vs_control_12C	CGI_10022941	NCBI:GeneID:105347705	gene	Crassostrea gigas	GCA_000297895.1			inferred	up	1.45380139203642	log2_fold_change					4.09075948475865e-05	30	gill	juvenile	temperature	thermal_tolerance	Organism-level thermal-tolerance direction was not measured; molecular heat-response direction only	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_mapping_required	data/processed/CGIG_HEAT_RNASEQ_PRJNA516762_rnaseq.tsv	f7cbd2aa601e130aea65440517c93484156014a5b69571fe1317d2b2d851c2ea	0.1.0	2026-09-25	PRJNA516762;SRP181984;PMC6688261;31395030	stress_response	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_coordinate_overlap_to_discontinued_ncbi_gene_then_ncbi_currentid
CGIG_HEAT_RNASEQ_PRJNA516762:11	CGIG_HEAT_RNASEQ_PRJNA516762	heat_35C_2h_vs_control_12C	CGI_10014398	CGI_10014398	gene	Crassostrea gigas	GCA_000297895.1			unresolved	up	1.44906365322868	log2_fold_change					1.1742189911385e-05	30	gill	juvenile	temperature	thermal_tolerance	Organism-level thermal-tolerance direction was not measured; molecular heat-response direction only	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_mapping_required	data/processed/CGIG_HEAT_RNASEQ_PRJNA516762_rnaseq.tsv	f7cbd2aa601e130aea65440517c93484156014a5b69571fe1317d2b2d851c2ea	0.1.0	2026-09-25	PRJNA516762;SRP181984;PMC6688261;31395030	stress_response	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	no_unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5
CGIG_HEAT_RNASEQ_PRJNA516762:12	CGIG_HEAT_RNASEQ_PRJNA516762	heat_35C_2h_vs_control_12C	Crassostrea_gigas_newGene_10935	Crassostrea_gigas_newGene_10935	gene	Crassostrea gigas	GCA_000297895.1			unresolved	up	1.36790365978337	log2_fold_change					4.51790913442419e-05	30	gill	juvenile	temperature	thermal_tolerance	Organism-level thermal-tolerance direction was not measured; molecular heat-response direction only	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_mapping_required	data/processed/CGIG_HEAT_RNASEQ_PRJNA516762_rnaseq.tsv	f7cbd2aa601e130aea65440517c93484156014a5b69571fe1317d2b2d851c2ea	0.1.0	2026-09-25	PRJNA516762;SRP181984;PMC6688261;31395030	stress_response	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model
CGIG_HEAT_RNASEQ_PRJNA516762:13	CGIG_HEAT_RNASEQ_PRJNA516762	heat_35C_2h_vs_control_12C	CGI_10000009	CGI_10000009	gene	Crassostrea gigas	GCA_000297895.1			unresolved	up	1.34183404400382	log2_fold_change					0.000172064886173032	30	gill	juvenile	temperature	thermal_tolerance	Organism-level thermal-tolerance direction was not measured; molecular heat-response direction only	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_mapping_required	data/processed/CGIG_HEAT_RNASEQ_PRJNA516762_rnaseq.tsv	f7cbd2aa601e130aea65440517c93484156014a5b69571fe1317d2b2d851c2ea	0.1.0	2026-09-25	PRJNA516762;SRP181984;PMC6688261;31395030	stress_response	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	no_unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5
CGIG_HEAT_RNASEQ_PRJNA516762:14	CGIG_HEAT_RNASEQ_PRJNA516762	heat_35C_2h_vs_control_12C	CGI_10002498	CGI_10002498	gene	Crassostrea gigas	GCA_000297895.1			unresolved	up	1.30141863743261	log2_fold_change					0.000535510320690744	30	gill	juvenile	temperature	thermal_tolerance	Organism-level thermal-tolerance direction was not measured; molecular heat-response direction only	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_mapping_required	data/processed/CGIG_HEAT_RNASEQ_PRJNA516762_rnaseq.tsv	f7cbd2aa601e130aea65440517c93484156014a5b69571fe1317d2b2d851c2ea	0.1.0	2026-09-25	PRJNA516762;SRP181984;PMC6688261;31395030	stress_response	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	no_unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5
CGIG_HEAT_RNASEQ_PRJNA516762:15	CGIG_HEAT_RNASEQ_PRJNA516762	heat_35C_2h_vs_control_12C	Crassostrea_gigas_newGene_27362	Crassostrea_gigas_newGene_27362	gene	Crassostrea gigas	GCA_000297895.1			unresolved	up	1.28556464692161	log2_fold_change					0.000166853018762477	30	gill	juvenile	temperature	thermal_tolerance	Organism-level thermal-tolerance direction was not measured; molecular heat-response direction only	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_mapping_required	data/processed/CGIG_HEAT_RNASEQ_PRJNA516762_rnaseq.tsv	f7cbd2aa601e130aea65440517c93484156014a5b69571fe1317d2b2d851c2ea	0.1.0	2026-09-25	PRJNA516762;SRP181984;PMC6688261;31395030	stress_response	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model
CGIG_HEAT_RNASEQ_PRJNA516762:16	CGIG_HEAT_RNASEQ_PRJNA516762	heat_35C_2h_vs_control_12C	CGI_10011376	NCBI:GeneID:105343216	gene	Crassostrea gigas	GCA_000297895.1			inferred	up	1.28445374338731	log2_fold_change					0.000535510320690744	30	gill	juvenile	temperature	thermal_tolerance	Organism-level thermal-tolerance direction was not measured; molecular heat-response direction only	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_mapping_required	data/processed/CGIG_HEAT_RNASEQ_PRJNA516762_rnaseq.tsv	f7cbd2aa601e130aea65440517c93484156014a5b69571fe1317d2b2d851c2ea	0.1.0	2026-09-25	PRJNA516762;SRP181984;PMC6688261;31395030	stress_response	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5
