sample_comparison	feature_id_original	feature_type	molecular_direction	effect_size	effect_size_type	standard_error	p_value	adjusted_p_value	analysis_method	quality_flags
heat_35C_2h_vs_control_12C	CGI_10002387	gene	up	4.32192220592129	log2_fold_change			3.02612988199714e-86	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10002823	gene	up	2.00483026167558	log2_fold_change			1.13310897261583e-10	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10009093	gene	up	1.88452249870533	log2_fold_change			2.37451014773084e-14	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10002068	gene	up	1.87656832611718	log2_fold_change			1.52304541659241e-9	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10002950	gene	up	1.82167278936896	log2_fold_change			1.21669935295818e-14	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	Crassostrea_gigas_newGene_40298	gene	up	1.77628600034683	log2_fold_change			9.90570218481327e-11	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	Crassostrea_gigas_newGene_21273	gene	up	1.69251157968981	log2_fold_change			1.01349790384326e-7	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10010798	gene	up	1.66712091726567	log2_fold_change			1.30446050541416e-7	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10004164	gene	up	1.65480473530871	log2_fold_change			6.0996220494064e-7	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10022941	gene	up	1.45380139203642	log2_fold_change			0.0000409075948475865	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10014398	gene	up	1.44906365322868	log2_fold_change			0.000011742189911385	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	Crassostrea_gigas_newGene_10935	gene	up	1.36790365978337	log2_fold_change			0.0000451790913442419	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10000009	gene	up	1.34183404400382	log2_fold_change			0.000172064886173032	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10002498	gene	up	1.30141863743261	log2_fold_change			0.000535510320690744	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	Crassostrea_gigas_newGene_27362	gene	up	1.28556464692161	log2_fold_change			0.000166853018762477	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10011376	gene	up	1.28445374338731	log2_fold_change			0.000535510320690744	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10019809	gene	up	1.27775237093355	log2_fold_change			0.000910588943477272	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10007526	gene	up	1.2602749510712	log2_fold_change			0.000258126263478193	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10001116	gene	up	1.20582865199306	log2_fold_change			0.00129727761383455	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10001415	gene	up	1.19314715090126	log2_fold_change			0.00219541910182376	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10005393	gene	up	1.18695215416974	log2_fold_change			0.00028870537303819	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10008519	gene	up	1.15082836909143	log2_fold_change			0.00161732988744713	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10026431	gene	up	1.150120193386	log2_fold_change			4.247199380415e-17	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
