direction	source	term_id	term_name	adjusted_p_value	significant	term_size	query_size	intersection_size	effective_domain_size	precision	recall	intersection_gene_ids
selected_higher	GO:MF	GO:0003723	RNA binding	1.8872546518830933e-11	True	463	4353	171	19814	0.039283252929014474	0.3693304535637149	
selected_higher	GO:BP	GO:0006396	RNA processing	5.923454539708824e-11	True	316	4353	127	19814	0.029175281415116012	0.40189873417721517	
selected_higher	GO:CC	GO:1990904	ribonucleoprotein complex	1.6141061520613166e-08	True	226	4353	92	19814	0.021134849529060418	0.40707964601769914	
selected_higher	GO:BP	GO:0016070	RNA metabolic process	7.057715816666777e-06	True	1029	4353	300	19814	0.06891798759476224	0.2915451895043732	
selected_higher	GO:MF	GO:0003676	nucleic acid binding	1.1480918821160581e-05	True	1464	4353	405	19814	0.09303928325292901	0.2766393442622951	
selected_higher	GO:BP	GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	2.0531742011276455e-05	True	90	4353	43	19814	0.009878244888582587	0.4777777777777778	
selected_higher	GO:BP	GO:0000398	mRNA splicing, via spliceosome	2.0531742011276455e-05	True	90	4353	43	19814	0.009878244888582587	0.4777777777777778	
selected_higher	GO:BP	GO:0006397	mRNA processing	2.5035029276359504e-05	True	140	4353	59	19814	0.013553870893636572	0.42142857142857143	
selected_higher	GO:BP	GO:0000375	RNA splicing, via transesterification reactions	3.0686916440547e-05	True	91	4353	43	19814	0.009878244888582587	0.4725274725274725	
selected_higher	GO:BP	GO:0016071	mRNA metabolic process	3.076766280103784e-05	True	170	4353	68	19814	0.01562141052147944	0.4	
selected_higher	GO:BP	GO:0010467	gene expression	3.1042449118366214e-05	True	1346	4353	375	19814	0.08614748449345279	0.2786032689450223	
selected_higher	GO:BP	GO:0032774	RNA biosynthetic process	8.385730130792266e-05	True	942	4353	272	19814	0.06248564208591776	0.28874734607218683	
selected_higher	GO:BP	GO:0008380	RNA splicing	0.00010115250219196009	True	119	4353	51	19814	0.01171605789110958	0.42857142857142855	
selected_higher	GO:BP	GO:0090304	nucleic acid metabolic process	0.00010616757182463909	True	1422	4353	390	19814	0.08959338387319091	0.2742616033755274	
selected_higher	GO:BP	GO:0009059	macromolecule biosynthetic process	0.0001979549529641904	True	1397	4353	382	19814	0.08775557087066391	0.2734430923407301	
selected_higher	GO:BP	GO:0141187	nucleic acid biosynthetic process	0.00020252789936646255	True	955	4353	273	19814	0.06271536871123363	0.2858638743455497	
selected_higher	GO:BP	GO:0022613	ribonucleoprotein complex biogenesis	0.0002271430128405681	True	151	4353	60	19814	0.013783597518952447	0.3973509933774834	
selected_higher	GO:CC	GO:0022626	cytosolic ribosome	0.0005748801235818936	True	54	4353	27	19814	0.006202618883528601	0.5	
selected_higher	GO:CC	GO:0005681	spliceosomal complex	0.001365864383729794	True	56	4353	27	19814	0.006202618883528601	0.48214285714285715	
