feature_id_standardized	gene_symbol	description	gene_biotype	annotation_release
NCBI:GeneID:117686572	LOC117686572	sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105331877	LOC105331877	uncharacterized LOC105331877	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105338552	LOC105338552	uncharacterized LOC105338552	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117681484	LOC117681484	transforming growth factor-beta-induced protein ig-h3-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105318991	LOC105318991	sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105321245	LOC105321245	uncharacterized LOC105321245	misc_RNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117686571	LOC117686571	sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105340999	LOC105340999	A disintegrin and metalloproteinase with thrombospondin motifs adt-1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105323084	LOC105323084	SCO-spondin	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105338869	LOC105338869	uncharacterized LOC105338869	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105344090	LOC105344090	mesenchyme-specific cell surface glycoprotein	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105335041	LOC105335041	uncharacterized LOC105335041	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105348543	LOC105348543	perilipin-2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105342460	LOC105342460	tenascin	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136276469	LOC136276469	uncharacterized LOC136276469	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105341033	LOC105341033	collagen alpha-1(XIV) chain	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105339449	LOC105339449	geranylgeranyl transferase type-1 subunit beta	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136270966	LOC136270966	coadhesin-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105318009	LOC105318009	Golgi-associated plant pathogenesis-related protein 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136271471	LOC136271471	transforming growth factor-beta-induced protein ig-h3-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105343145	LOC105343145	apolipoprotein D	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105322971	LOC105322971	transcription factor atf-2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:109619724	LOC109619724	endoglucanase	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105326403	LOC105326403	uncharacterized LOC105326403	misc_RNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105340827	LOC105340827	heme-binding protein 2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105327622	LOC105327622	shematrin-like protein 2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136270843	LOC136270843	A disintegrin and metalloproteinase with thrombospondin motifs adt-1-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105335771	LOC105335771	uncharacterized LOC105335771	protein_coding	GCF_963853765.1-RS_2024_06
