feature_id_original	feature_id_standardized	ortholog_reference	mapping_confidence	mapping_release	mapping_evidence	candidate_current_gene_id	legacy_scaffold	legacy_refseq_accession	legacy_start	legacy_end	legacy_strand	legacy_description	legacy_ncbi_gene_id	ncbi_replacement_gene_id	legacy_ncbi_start	legacy_ncbi_end	overlap_bp	legacy_coverage	legacy_ncbi_coverage	current_symbol	current_description	current_refseq_accession	current_start	current_end	current_strand	candidate_overlap_count
CGI_10000009	CGI_10000009		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	no_unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		C18346	NW_011939427.1	174	551	+															0
CGI_10000078	NCBI:GeneID:105338126		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_coordinate_overlap_to_discontinued_ncbi_gene_then_ncbi_currentid		C22344	NW_011940219.1	15	1304	+	Fructose-bisphosphate aldolase  [Source:UniProtKB/TrEMBL;Acc:K1P8P8]	105323467	105338126	6	1787	1290	1.0	0.723906	LOC105338126	fructose-bisphosphate aldolase	NC_088855.1	41615678	41619761	+	1
CGI_10000743	NCBI:GeneID:105329152		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_coordinate_overlap_to_discontinued_ncbi_gene_then_ncbi_currentid		C31390	NW_011941761.1	616	3628	+		105324192	105329152	556	2228	1613	0.535347	0.964136	LOC105329152	uncharacterized LOC105329152	NC_088861.1	43923300	43925005	+	1
CGI_10001116	CGI_10001116		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_ncbi_gene_discontinued_without_current_replacement		C33688	NW_011942084.1	7713	8705	-	Tripartite motif-containing protein 3  [Source:UniProtKB/TrEMBL;Acc:K1P6X0]	105324523				993	1.0	0.181602							
CGI_10001358	CGI_10001358		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	no_unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold34756	NW_011935709.1	21	10691	+	Tripartite motif-containing protein 3  [Source:UniProtKB/TrEMBL;Acc:K1QMJ2]														1
CGI_10001400	CGI_10001400		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	no_unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold34994	NW_011937085.1	2797	19078	-	Cell division protein kinase 6  [Source:UniProtKB/TrEMBL;Acc:K1QMH1]														3
CGI_10001415	CGI_10001415		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_ncbi_gene_discontinued_without_current_replacement		scaffold35066	NW_011936070.1	7620	10614	-		105336589				2995	1.0	0.139757							
CGI_10001445	NCBI:GeneID:105344569		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_coordinate_overlap_to_discontinued_ncbi_gene_then_ncbi_currentid		C35262	NW_011942069.1	5195	10381	-		105324489	105344569	3265	11981	5187	1.0	0.595044	LOC105344569	uncharacterized LOC105344569	NC_088856.1	53517019	53539843	+	1
CGI_10001455	CGI_10001455		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	no_unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold35270	NW_011936138.1	2215	21851	-															4
CGI_10001551	NCBI:GeneID:105324494		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		C35556	NW_011942071.1	5682	9417	+	Diacylglycerol kinase delta  [Source:UniProtKB/TrEMBL;Acc:K1P0J2]	105324494		1614	13485	3736	1.0	0.31469	LOC105324494	diacylglycerol kinase delta	NC_088860.1	6727745	6766378	-	1
CGI_10002045	CGI_10002045		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
CGI_10002068	NCBI:GeneID:105345749		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_coordinate_overlap_to_discontinued_ncbi_gene_then_ncbi_currentid		scaffold36916	NW_011937069.1	1837	4712	-		105345748	105345749	617	4796	2876	1.0	0.688038	LOC105345749	streptococcal hemagglutinin	NC_088857.1	53573826	53604293	-	1
CGI_10002387	NCBI:GeneID:105327207		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_coordinate_overlap_to_discontinued_ncbi_gene_then_ncbi_currentid		scaffold1261	NW_011935179.1	10104	16618	-	Heat shock 70 kDa protein 12B  [Source:UniProtKB/TrEMBL;Acc:K1Q4A5]	105327570	105327207	9018	34590	6515	1.0	0.254761	LOC105327207	uncharacterized LOC105327207	NC_088854.1	43386795	43438763	-	1
CGI_10002452	CGI_10002452		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
CGI_10002455	CGI_10002455		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	no_unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold37680	NW_011935319.1	9868	16114	+	Tubulin alpha-1C chain  [Source:UniProtKB/TrEMBL;Acc:K1PKU1]														0
CGI_10002479	NCBI:GeneID:105317710		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold1778	NW_011937515.1	34936	42863	-	RING finger protein nhl-1  [Source:UniProtKB/TrEMBL;Acc:K1QSU2]	105317710		36543	46213	6321	0.797301	0.653604	LOC105317710	uncharacterized LOC105317710	NC_088853.1	24064395	24069934	-	1
CGI_10002498	CGI_10002498		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	no_unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold37790	NW_011934859.1	1900	11693	-	Complement C1q-like protein 4  [Source:UniProtKB/TrEMBL;Acc:K1PTR9]														1
CGI_10002594	NCBI:GeneID:105334510		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold38030	NW_011935868.1	46789	48693	-	Heat shock protein 68  [Source:UniProtKB/TrEMBL;Acc:K1PKN1]	105334510		45619	48893	1905	1.0	0.581679	LOC105334510	heat shock protein 68-like	NC_088859.1	12292754	12295041	-	1
CGI_10002702	CGI_10002702		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_ncbi_gene_discontinued_without_current_replacement		scaffold38272	NW_011936893.1	12040	52169	+		105344052				28559	0.711662	1.0							
CGI_10002823	NCBI:GeneID:105322484		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold749	NW_011937991.1	27460	29307	-	Heat shock protein 68  [Source:UniProtKB/TrEMBL;Acc:K1QHA7]	105322484		26308	29363	1848	1.0	0.604712	LOC105322484	heat shock protein 68-like	NC_088856.1	33078843	33081892	+	1
CGI_10002950	CGI_10002950		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
CGI_10003336	CGI_10003336		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	no_unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold680	NW_011934606.1	5413	24052	-															1
CGI_10003377	CGI_10003377		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
CGI_10003417	NCBI:GeneID:105334234		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold39580	NW_011935842.1	60073	61977	+	Heat shock protein 70 B2  [Source:UniProtKB/TrEMBL;Acc:K1PJB0]	105334234		59916	62219	1905	1.0	0.826823	LOC105334234	heat shock protein 70 B2	NC_088856.1	33118551	33120771	-	1
